com_ELIGIBLE_B_sqft,com_INELIGIBLE_B_sqft,com_ALL_BASELINE_B_sqft,res_ELIGIBLE_M_dwelling_units,res_INELIGIBLE_M_dwelling_units,res_ALL_BASELINE_M_dwelling_units
"Total commercial floorspace in the upgrade-eligible cohort, B sqft (excludes gap). Same value every row. Calculated once per run: sum of the 'sqft' column in aux_coverage_upgradeUpgraded-Baseline_reg_b2018.csv, divided by 1e9.","Total commercial floorspace in the ineligible cohort, B sqft (excludes gap). Same value every row. Calculated once per run: sum of the 'sqft' column in aux_coverage_upgradeNon-Upgraded-Baseline_reg_b2018.csv, divided by 1e9.","Total commercial floorspace across the full ComStock simulation frame, B sqft (excludes gap). Same value every row. = com_ELIGIBLE_B_sqft + com_INELIGIBLE_B_sqft (the All-Baseline spec is the union of eligible and ineligible).","Total residential dwelling units in the upgrade-eligible cohort, M units (raw, includes vacant). Same value every row. Calculated once per run: sum of the 'units_count' column in aux_coverage_upgradeUpgraded-Baseline_reg_b2018.csv, divided by 1e6.","Total residential dwelling units in the ineligible cohort, M units (raw, includes vacant). Same value every row. Calculated once per run: sum of the 'units_count' column in aux_coverage_upgradeNon-Upgraded-Baseline_reg_b2018.csv, divided by 1e6.","Total residential dwelling units across the full ResStock simulation frame, M units (raw, includes vacant). Same value every row. = res_ELIGIBLE_M_dwelling_units + res_INELIGIBLE_M_dwelling_units (the All-Baseline spec is the union of eligible and ineligible)."
35.947373,27.885473,63.832846,96.999836,42.639821,139.639657
