Commercial Total Floorspace Surviving (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=5-AEO2025&cases=ref2025&sourcekey=0
17:35:56 GMT-0600 (Mountain Daylight Time)
Data source: U.S. Energy Information Administration
Year,Commercial: Total Floorspace: Surviving billion sq ft
2050,139.473953
2049,138.00769
2048,136.550049
2047,135.100433
2046,133.657303
2045,132.217987
2044,130.779205
2043,129.337433
2042,127.888809
2041,126.430229
2040,124.958244
2039,123.467499
2038,121.952621
2037,120.408638
2036,118.833
2035,117.233688
2034,115.627022
2033,114.027519
2032,112.443481
2031,110.864998
2030,109.257599
2029,107.606689
2028,105.949738
2027,104.382309
2026,102.983406
2025,101.845505
2024,100.629799
2023,
