"Commercial Sector Key Indicators and Consumption (merged AEO vintages)"
"https://github.com/NatLabRockies/buildstock-weatherreg/tree/main/projections/merge_aeo.py"
"Most-recent-vintage-wins per (row, year); years 2007-2050"
"Source: U.S. Energy Information Administration (AEO 2010, 2012, 2018, 2025)"
Unnamed: 0,full name,Unnamed: 0,api key,units,Growth (2024-2050),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Other Uses,Commercial: Delivered Energy Use by End Use: Other Uses: Reference case,Other Uses,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_OTHU_USA_QBTU.A,quads,0.9%,2.953724,3.031331,2.901696,2.991556,2.953731,3.004051,3.019374,3.053161,3.085553,3.039234,3.126918,3.26159,3.260978,3.21686,3.21345,3.227107,3.246357,4.148036,4.236348,4.179547,4.173419,4.16103,4.210443,4.255164,4.299386,4.34036,4.379753,4.422581,4.469513,4.520429,4.57351,4.628166,4.684449,4.739594,4.792181,4.844249,4.89604,4.94942,5.004261,5.059049,5.115762,5.175616,5.238051,5.302913
Refrigeration,Commercial: Delivered Energy Use by End Use: Refrigeration: Reference case,Refrigeration,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_REFR_USA_QBTU.A,quads,0.6%,0.400856,0.40452,0.398578,0.389578,0.381017,0.373112,0.364379,0.357,0.351184,0.640193,0.646596,0.650516,0.654852,0.656278,0.65568,0.654251,0.653565,0.3673,0.368602,0.370734,0.374374,0.377652,0.380061,0.380801,0.381801,0.383185,0.384649,0.386473,0.388688,0.391299,0.39396,0.39658,0.399215,0.401724,0.404382,0.406815,0.409139,0.411394,0.413646,0.415834,0.418077,0.420413,0.422894,0.425501
Space Cooling,Commercial: Delivered Energy Use by End Use: Space Cooling: Reference case,Space Cooling,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_SPC_USA_QBTU.A,quads,1.2%,0.587495,0.53365,0.502172,0.600537,0.615595,0.514483,0.541312,0.538448,0.535521,0.587544,0.512773,0.485815,0.532053,0.528267,0.526871,0.526667,0.525361,0.591153,0.572932,0.584671,0.599365,0.611087,0.618757,0.624104,0.629265,0.635337,0.640592,0.646976,0.655032,0.664719,0.675117,0.685483,0.696384,0.706716,0.716805,0.725892,0.73502,0.744088,0.75317,0.762199,0.771778,0.782199,0.793844,0.806654
Space Heating,Commercial: Delivered Energy Use by End Use: Space Heating: Reference case,Space Heating,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_SPH_USA_QBTU.A,quads,0.0%,1.774861,1.872292,1.953916,1.967523,1.986573,2.045955,1.966432,1.976273,1.98161,1.925343,1.925266,2.097865,2.023371,1.992463,1.962956,1.938412,1.920026,1.793205,1.968128,1.987582,1.993293,1.989544,1.979186,1.964891,1.952963,1.936761,1.917665,1.900959,1.890419,1.884478,1.881183,1.879383,1.877499,1.87395,1.867707,1.859634,1.850536,1.842466,1.8346,1.826247,1.819223,1.81401,1.810239,1.807237
Ventilation,Commercial: Delivered Energy Use by End Use: Ventilation: Reference case,Ventilation,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_VNTC_USA_QBTU.A,quads,1.3%,0.489617,0.494586,0.503812,0.507214,0.512093,0.517871,0.521971,0.526031,0.529762,0.51816,0.516644,0.514127,0.511661,0.506829,0.503386,0.500766,0.499112,0.744619,0.756495,0.773026,0.794764,0.812808,0.82569,0.833013,0.839952,0.847861,0.855145,0.863696,0.873933,0.886223,0.8988,0.911316,0.924151,0.936507,0.94829,0.958873,0.968959,0.978762,0.988687,0.998468,1.008851,1.020037,1.032297,1.04564
Water Heating,Commercial: Delivered Energy Use by End Use: Water Heating: Reference case,Water Heating,AEO.2025.REF2025.CNSM_NA_COMM_NA_DEE_WTHT_USA_QBTU.A,quads,0.9%,0.555553,0.549683,0.552711,0.556396,0.571115,0.578728,0.584662,0.591066,0.596327,0.60917,0.614276,0.617898,0.616586,0.615207,0.614035,0.613604,0.612108,0.348181,0.360266,0.368159,0.373233,0.37684,0.379396,0.381253,0.38318,0.38435,0.385163,0.386475,0.388786,0.392073,0.395936,0.400077,0.404227,0.408036,0.411339,0.414199,0.416837,0.419697,0.422561,0.425316,0.428362,0.431821,0.435532,0.439438
Delivered Energy,Commercial: Distillate Fuel Oil: Delivered Energy: Reference case,Delivered Energy,AEO.2025.REF2025.CNSM_NA_COMM_NA_DFO_DELE_USA_QBTU.A,quads,-0.1%,0.38392,0.36192,0.41311,0.43127,0.42389,0.356841,0.354085,0.355464,0.352972,0.35103,0.36874,0.4011,0.389505,0.381689,0.374565,0.370781,0.367463,0.308284,0.316531,0.320263,0.322216,0.323022,0.323134,0.32305,0.322524,0.321855,0.320655,0.31932,0.317866,0.316585,0.315306,0.314099,0.312914,0.31156,0.310134,0.30888,0.307543,0.306213,0.305166,0.303993,0.302473,0.301308,0.300547,0.299786
Other Uses,Commercial: Distillate Fuel Oil: Other Uses: Reference case,Other Uses,AEO.2025.REF2025.CNSM_NA_COMM_NA_DFO_OTHU_USA_QBTU.A,quads,0.2%,0.205937,0.192049,0.223094,0.263775,0.263456,0.197987,0.201309,0.203225,0.202756,0.10615,0.120393,0.139117,0.140634,0.140606,0.14079,0.142239,0.142236,0.235269,0.238648,0.242406,0.244753,0.246208,0.24728,0.248209,0.248727,0.249122,0.249074,0.2489,0.24861,0.248442,0.248265,0.24814,0.248021,0.247756,0.24739,0.247146,0.246813,0.246474,0.246347,0.246105,0.245556,0.245281,0.245317,0.245343
Space Heating,Commercial: Distillate Fuel Oil: Space Heating: Reference case,Space Heating,AEO.2025.REF2025.CNSM_NA_COMM_NA_DFO_SPH_USA_QBTU.A,quads,-1.2%,0.157502,0.150883,0.161089,0.140041,0.133826,0.132826,0.125932,0.124778,0.122429,0.237355,0.240651,0.254326,0.241346,0.233727,0.226585,0.221456,0.218194,0.069269,0.074071,0.074026,0.073627,0.072983,0.072032,0.071029,0.069999,0.068948,0.067814,0.066672,0.065526,0.064428,0.063341,0.062275,0.061223,0.06015,0.059106,0.05811,0.05712,0.056143,0.055234,0.054314,0.053358,0.052478,0.051687,0.050906
Water Heating,Commercial: Distillate Fuel Oil: Water Heating: Reference case,Water Heating,AEO.2025.REF2025.CNSM_NA_COMM_NA_DFO_WTHT_USA_QBTU.A,quads,-0.2%,0.020482,0.018988,0.028927,0.027454,0.026608,0.026029,0.026843,0.027461,0.027788,0.007525,0.007696,0.007657,0.007525,0.007355,0.00719,0.007085,0.007033,0.003746,0.003811,0.00383,0.003835,0.003831,0.003822,0.003812,0.003798,0.003784,0.003767,0.003749,0.003731,0.003715,0.003699,0.003684,0.00367,0.003654,0.003638,0.003624,0.00361,0.003596,0.003586,0.003574,0.003559,0.003549,0.003542,0.003536
