Residential Key Indicators Households (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2020&region=0-0&cases=ref2020&start=2018&end=2050&f=A&linechart=ref2020-d112119a.4-4-AEO2020~ref2020-d112119a.5-4-AEO2020~ref2020-d112119a.6-4-AEO2020~ref2020-d112119a.7-4-AEO2020&sourcekey=0
15:44:28 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Year,Single-Family millions,Multifamily millions,Mobile Homes millions,Total millions
2050,103.476883,37.322144,4.324904,145.123932
2049,102.824989,37.146191,4.359805,144.330978
2048,102.168739,36.969349,4.392655,143.530746
2047,101.509537,36.792114,4.424406,142.726059
2046,100.845367,36.616486,4.45642,141.918274
2045,100.184258,36.444176,4.491304,141.119736
2044,99.534981,36.272335,4.531159,140.33847
2043,98.90229,36.101669,4.57551,139.579483
2042,98.285645,35.932476,4.625055,138.843185
2041,97.674026,35.763817,4.679317,138.117157
2040,97.055527,35.59388,4.740024,137.389435
2039,96.436302,35.423073,4.804191,136.663559
2038,95.816589,35.252743,4.868898,135.938232
2037,95.178925,35.082169,4.93163,135.192719
2036,94.531143,34.912537,4.988785,134.432465
2035,93.871727,34.740967,5.041294,133.653992
2034,93.203499,34.564419,5.088062,132.855972
2033,92.55088,34.382,5.13363,132.066513
2032,91.907379,34.192989,5.179783,131.280151
2031,91.267822,33.990009,5.228832,130.486664
2030,90.606201,33.778313,5.284706,129.66922
2029,89.965836,33.575169,5.349084,128.890091
2028,89.336258,33.375603,5.419656,128.131516
2027,88.699997,33.173115,5.494947,127.368057
2026,88.05275,32.965832,5.577962,126.59655
2025,87.380539,32.747837,5.664285,125.792656
2024,86.689278,32.522053,5.755592,124.966927
2023,86.002068,32.297523,5.850623,124.150215
2022,85.306702,32.069595,5.94983,123.326126
2021,84.601242,31.837154,6.052701,122.491104
2020,83.91272,31.611248,6.154318,121.678291
2019,83.258247,31.398493,6.26153,120.918266
