Commercial Total Floorspace (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=5-AEO2019&region=0-0&cases=ref2019&start=2017&end=2050&f=A&linechart=ref2019-d111618a.5-5-AEO2019~ref2019-d111618a.6-5-AEO2019~ref2019-d111618a.7-5-AEO2019&sourcekey=0
15:48:26 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Year,Surviving billion sq ft,New Additions billion sq ft,Total billion sq ft
2050,122.47496,2.447091,124.92205
2049,121.433426,2.440732,123.874161
2048,120.392487,2.429088,122.821571
2047,119.35463,2.414957,121.769585
2046,118.323624,2.39713,120.720757
2045,117.298515,2.380288,119.678802
2044,116.281487,2.361331,118.642815
2043,115.26664,2.34833,117.614967
2042,114.254158,2.335181,116.58934
2041,113.244972,2.321115,115.566086
2040,112.23687,2.309292,114.546165
2039,111.237213,2.290097,113.527313
2038,110.239586,2.277387,112.516975
2037,109.24118,2.267445,111.508629
2036,108.231857,2.267617,110.499474
2035,107.210037,2.26929,109.479324
2034,106.171669,2.274914,108.446579
2033,105.126808,2.270451,107.397263
2032,104.081772,2.259662,106.341431
2031,103.036316,2.249211,105.28553
2030,102.001488,2.227756,104.22924
2029,100.972916,2.210838,103.183754
2028,99.951653,2.192986,102.144638
2027,98.942406,2.17056,101.112968
2026,97.947128,2.146343,100.093475
2025,96.965729,2.122364,99.088089
2024,95.979851,2.116862,98.09671
2023,94.968422,2.1324,97.100822
2022,93.926575,2.152723,96.0793
2021,92.849442,2.177872,95.027313
2020,91.747826,2.19224,93.940063
2019,90.656059,2.172452,92.828514
2018,89.63118,2.096299,91.727478
2017,88.688492,2.005642,90.694138
