Residential Key Indicators Households (Case Reference case)
https://www.eia.gov/outlooks/aeo/data/browser/#/?id=4-AEO2019&region=0-0&cases=ref2019&start=2017&end=2050&f=A&linechart=ref2019-d111618a.4-4-AEO2019~ref2019-d111618a.5-4-AEO2019~ref2019-d111618a.6-4-AEO2019~ref2019-d111618a.7-4-AEO2019&sourcekey=0
15:44:50 GMT-0500 (Central Daylight Time)
Data source: U.S. Energy Information Administration
Year,Single-Family millions,Multifamily millions,Mobile Homes millions,Total millions
2050,105.756004,38.700199,4.884426,149.340637
2049,105.03019,38.478886,4.901404,148.410477
2048,104.304108,38.257366,4.917912,147.479385
2047,103.572861,38.0359,4.935379,146.544144
2046,102.836166,37.814877,4.951876,145.602921
2045,102.1036,37.59626,4.970847,144.6707
2044,101.381042,37.379314,4.994032,143.754395
2043,100.674561,37.1637,5.021771,142.860031
2042,99.982162,36.950241,5.053851,141.986252
2041,99.295181,36.737942,5.089012,141.122131
2040,98.600883,36.524723,5.129141,140.254745
2039,97.905632,36.312492,5.172387,139.390518
2038,97.212517,36.101856,5.216051,138.530426
2037,96.506226,35.891441,5.258638,137.656311
2036,95.796272,35.683346,5.297407,136.777023
2035,95.081764,35.474888,5.333613,135.890274
2034,94.354324,35.263332,5.367767,134.985428
2033,93.637115,35.048016,5.401012,134.086151
2032,92.937881,34.830864,5.435615,133.204361
2031,92.243111,34.607491,5.474582,132.32518
2030,91.518715,34.375633,5.516047,131.4104
2029,90.800278,34.147213,5.561398,130.508896
2028,90.101616,33.91317,5.612546,129.627335
2027,89.411499,33.669975,5.670269,128.75174
2026,88.708969,33.421452,5.733712,127.864128
2025,87.979805,33.160194,5.807802,126.9478
2024,87.231842,32.891376,5.885859,126.009071
2023,86.489555,32.6245,5.969298,125.083359
2022,85.736542,32.353291,6.05549,124.145317
2021,84.972977,32.07478,6.138723,123.186485
2020,84.21051,31.797285,6.2238,122.231598
2019,83.442673,31.515844,6.313422,121.271942
2018,82.704849,31.247095,6.397799,120.349739
2017,82.02993,30.983019,6.505692,119.518639
