Sector,Source,Year,Type,State,"Shell factor (1=2020 res stock, 1=2018 com stock)"
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Idaho,0.935175248
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Illinois,0.903670306
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Indiana,0.747470261
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Iowa,0.483485485
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Kansas,0.673995276
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Kentucky,0.601758986
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Louisiana,0.602751405
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Maine,0.981485035
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Maryland,0.730227640
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Massachusetts,0.696433917
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Michigan,0.646878025
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Minnesota,0.937854583
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Mississippi,0.803425936
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Missouri,0.657927816
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Montana,0.912711378
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Nebraska,0.616827291
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Nevada,0.834900724
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,New Hampshire,0.576555477
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,New Jersey,0.658719464
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,New Mexico,0.823505115
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,New York,0.596586756
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,North Carolina,0.694333538
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,North Dakota,0.723296509
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Ohio,0.734424376
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Oklahoma,0.745546946
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Oregon,0.932509662
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Pennsylvania,0.658058218
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Rhode Island,0.674911514
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,South Carolina,0.841553063
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,South Dakota,0.706598926
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Tennessee,0.738193341
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Texas,0.765232146
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Utah,0.881301092
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Vermont,0.767201730
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Virginia,0.767335675
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Washington,0.672228571
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,West Virginia,0.645596507
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Wisconsin,0.867937643
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/clg_proj,2020,Cooling,Wyoming,0.763587050
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Alabama,0.735160131
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Arizona,0.617178004
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Arkansas,0.700182604
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,California,0.530953259
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Colorado,0.734671825
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Connecticut,0.514769856
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Delaware,0.612338760
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,District of Columbia,0.412959632
Residential,shell_factors_res_recs2020+aeo2026_rdm.xlsx/htg_proj,2020,Heating,Florida,0.494464663
